label,world_size,frames,tile_grid,total_ms_with_comm,total_ms_without_comm,load_imbalance,host_task_distribution
uniform_24,24,150,5x4,43659.3714,32268.1814,2.6069,172-1-0-253.lightspeed.hstntx.sbcglobal.net ranks=8 tasks=695 share=0.232; 172-1-0-28.lightspeed.hstntx.sbcglobal.net ranks=8 tasks=1083 share=0.361; 172-1-0-32.lightspeed.hstntx.sbcglobal.net ranks=8 tasks=1222 share=0.407
weighted_24,24,150,5x4,47238.0705,30863.7294,2.3788,172-1-0-253.lightspeed.hstntx.sbcglobal.net ranks=6 tasks=417 share=0.139; 172-1-0-28.lightspeed.hstntx.sbcglobal.net ranks=10 tasks=1335 share=0.445; 172-1-0-32.lightspeed.hstntx.sbcglobal.net ranks=8 tasks=1248 share=0.416
