p,runtime_with_comm_ms,runtime_without_comm_ms_est,scatter_ms,halo_ms,compute_ms,gather_ms,communication_ms
1,20689.220000,20685.368000,0.000000,0.843000,5134.646000,3.009000,3.852000
2,10809.270000,10788.913000,0.000000,2.141000,2673.451000,18.216000,20.357000
4,5797.441000,5738.545000,0.000000,21.733000,1387.000000,37.163000,58.896000
8,115315.075000,98568.577000,0.000000,378.556000,955.423000,16367.942000,16746.498000
12,170804.915000,153319.376000,0.000000,1032.269000,751.258000,16453.270000,17485.539000
