p,halo_mode,profile,height,width,grid,distributed_ms,serial_ms,speedup,efficiency,scatter_ms,halo_ms,compute_ms,gather_ms,rank_idle_ms_total,max_abs_error,mean_abs_error,correct,weights_dir,halo_total_edges,halo_intra_machine_edges,halo_inter_machine_edges,halo_inter_machine_edge_ratio
12,blocking,full,64,64,3x4,71674.550000,1931.366000,0.000000,0.000000,0.000000,1048.655000,58.133000,1775.655000,10313.995000,0.000000,0.000000,YES,models/vgg11-pretrained-conv,29,13,16,0.551724
12,blocking,full,96,96,3x4,81563.138000,5297.051000,0.000000,0.000000,0.000000,1367.567000,161.352000,3838.698000,19935.341000,0.000000,0.000000,YES,models/vgg11-pretrained-conv,29,13,16,0.551724
12,blocking,full,128,128,3x4,95005.434000,8808.176000,0.066282,0.005524,0.000000,2473.553000,216.922000,6831.668000,26171.496000,0.000000,0.000000,YES,models/vgg11-pretrained-conv,29,13,16,0.551724
12,blocking,full,160,160,3x4,98414.314000,15044.320000,0.000000,0.000000,0.000000,1279.784000,364.811000,7464.951000,24683.157000,0.000000,0.000000,YES,models/vgg11-pretrained-conv,29,13,16,0.551724
12,blocking,full,224,224,3x4,149595.692000,29777.973000,0.000000,0.000000,0.000000,1563.742000,692.738000,21454.394000,18898.139000,0.000000,0.000000,YES,models/vgg11-pretrained-conv,29,13,16,0.551724
